                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.87658,                  1.189,                0.84966,                 0.8372,                0.90682,                0.97243,                0.81825,                0.84126,                 0.8819,                 0.8394,               0.066768,              0.0017675,              0.0017675
                     36,                0.72307,                0.93963,                0.77854,                0.82443,                0.91905,                0.96525,                0.82962,                0.82826,                0.86997,                0.84116,               0.065767,              0.0017671,              0.0017671
                     37,                 1.0178,                0.96546,                0.87468,                0.82443,                0.91905,                0.96525,                0.82962,                0.82826,                0.86997,                0.84116,               0.064764,              0.0017638,              0.0017638
                     38,                0.78286,                 1.0109,                0.85038,                0.91222,                0.81781,                0.96715,                 0.7906,                0.84231,                0.96494,                0.83776,               0.063758,              0.0017578,              0.0017578
                     39,                0.98288,                  1.067,                0.84063,                0.91222,                0.81781,                0.96715,                 0.7906,                0.84231,                0.96494,                0.83776,               0.062749,              0.0017489,              0.0017489
                     40,                0.86404,                0.97995,                0.86404,                0.89589,                0.83332,                0.97364,                 0.8139,                0.79921,                0.95364,                0.83882,               0.061737,              0.0017371,              0.0017371
                     41,                0.93665,                 1.1409,                0.90602,                0.89589,                0.83332,                0.97364,                 0.8139,                0.79921,                0.95364,                0.83882,               0.060723,              0.0017226,              0.0017226
                     42,                0.75338,                 1.0165,                0.81362,                0.88044,                0.88636,                0.97364,                0.80371,                0.82734,                0.83812,                0.84625,               0.059705,              0.0017052,              0.0017052
                     43,                0.97185,                 1.0556,                0.87324,                0.88044,                0.88636,                0.97364,                0.80371,                0.82734,                0.83812,                0.84625,               0.058685,               0.001685,               0.001685
                     44,                0.81791,                 1.1172,                0.86291,                 0.8742,                 0.9697,                 0.9829,                0.79778,                0.85407,                0.78861,                0.84991,               0.057662,              0.0016619,              0.0016619
                     45,                0.88082,                0.97431,                0.82771,                 0.8742,                 0.9697,                 0.9829,                0.79778,                0.85407,                0.78861,                0.84991,               0.056636,              0.0016361,              0.0016361
                     46,                0.85341,                0.91508,                0.82445,                0.90296,                 0.9697,                0.98441,                0.82118,                0.85441,                0.83586,                0.85121,               0.055607,              0.0016074,              0.0016074
                     47,                 0.9466,                 1.1011,                 0.8676,                0.90296,                 0.9697,                0.98441,                0.82118,                0.85441,                0.83586,                0.85121,               0.054576,              0.0015758,              0.0015758
                     48,                0.80255,                 1.0014,                0.83229,                0.94187,                0.94466,                0.98441,                 0.8013,                0.89223,                0.81595,                0.85583,               0.053541,              0.0015415,              0.0015415
