                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1538,                 1.7989,                0.83897,                0.80193,                0.72127,                 0.8051,                0.58805,                 1.1831,                 1.9582,                0.93293,                    0.1,                      0,                      0
                      1,                0.96875,                 1.7877,                0.92291,                0.80177,                0.72334,                0.80885,                0.58992,                 1.1731,                 1.9271,                 0.9318,               0.099098,              9.802e-05,              9.802e-05
                      2,                 1.1706,                 1.8233,                0.91682,                0.80184,                0.72397,                0.80951,                0.59071,                 1.1687,                 1.8984,                0.93044,               0.098192,             0.00019208,             0.00019208
                      3,                 1.1328,                 1.7209,                0.84194,                0.79797,                0.70455,                0.80398,                0.58701,                 1.1646,                 1.8796,                0.93057,               0.097282,             0.00028218,             0.00028218
                      4,                 1.1951,                 1.7926,                0.94904,                0.80101,                0.70455,                0.81344,                0.60866,                 1.1235,                 1.8617,                 0.9223,               0.096368,             0.00036832,             0.00036832
                      5,                 1.1179,                 1.6846,                0.90002,                0.80584,                0.70455,                0.82454,                0.63436,                 1.0775,                 1.7968,                0.91548,               0.095451,              0.0004505,              0.0004505
                      6,                 1.1138,                  2.078,                0.91208,                0.83758,                0.75926,                0.84785,                0.64618,                 1.0491,                 1.7591,                0.91161,               0.094529,             0.00052872,             0.00052872
                      7,                 1.0594,                 1.7559,                0.93428,                0.83825,                0.76087,                0.86061,                0.65681,                 1.0306,                 1.7402,                0.90661,               0.093603,             0.00060298,             0.00060298
                      8,                 1.0176,                 1.9175,                0.86647,                0.83654,                0.75935,                0.85637,                 0.6533,                 1.0403,                 1.7387,                0.90462,               0.092673,             0.00067328,             0.00067328
                      9,                 1.1087,                 1.9553,                0.89237,                0.83652,                0.76533,                0.86534,                0.63843,                 1.0086,                 1.7014,                0.89827,                0.09174,             0.00073962,             0.00073962
                     10,                 1.0564,                 1.8462,                 0.9097,                0.83601,                0.76363,                0.86725,                0.64689,                 1.0166,                 1.7151,                0.89709,               0.090802,               0.000802,               0.000802
                     11,                 1.1283,                 1.5328,                0.89214,                0.83531,                0.76467,                0.88137,                0.64961,                 1.0308,                 1.6367,                0.90023,                0.08986,             0.00086042,             0.00086042
                     12,                  1.175,                  1.819,                 0.9231,                0.83891,                0.82955,                0.88462,                0.63975,                  1.044,                 1.6257,                0.90079,               0.088915,             0.00091488,             0.00091488
                     13,                  1.143,                 1.5489,                0.87615,                0.84883,                0.86804,                0.90812,                 0.6656,                 1.0298,                 1.5628,                 0.8965,               0.087965,             0.00096538,             0.00096538
                     14,                 1.0425,                 1.5595,                0.87898,                0.84565,                0.86539,                0.91041,                0.67925,                 1.0308,                 1.5725,                0.89496,               0.087012,              0.0010119,              0.0010119
                     15,                 1.2704,                 1.7514,                0.91956,                0.84524,                 0.8677,                0.91041,                0.67137,                 1.0377,                 1.5587,                0.89629,               0.086055,              0.0010545,              0.0010545
                     16,                 1.0801,                 1.6216,                0.89454,                0.86613,                0.87852,                0.91041,                0.68674,                0.98212,                 1.5039,                0.88215,               0.085093,              0.0010931,              0.0010931
                     17,                 1.1392,                 1.7365,                0.88895,                0.86613,                0.87852,                0.91041,                0.68674,                0.98212,                 1.5039,                0.88215,               0.084128,              0.0011278,              0.0011278
                     18,                 1.1731,                 1.5655,                0.90844,                0.88088,                0.86753,                0.91305,                0.67393,                0.97778,                 1.4797,                 0.8758,               0.083158,              0.0011585,              0.0011585
                     19,                 1.1105,                  1.467,                0.85694,                0.88088,                0.86753,                0.91305,                0.67393,                0.97778,                 1.4797,                 0.8758,               0.082185,              0.0011852,              0.0011852
                     20,                 1.0415,                 1.6647,                0.89767,                0.88149,                0.89205,                0.93208,                0.68975,                  1.004,                 1.4781,                0.88093,               0.081208,               0.001208,               0.001208
                     21,                 1.0916,                 1.4076,                0.91989,                0.88149,                0.89205,                0.93208,                0.68975,                  1.004,                 1.4781,                0.88093,               0.080227,              0.0012268,              0.0012268
                     22,                 1.1839,                 1.9326,                0.96765,                0.86114,                0.88329,                0.93208,                0.72657,                0.92322,                 1.4277,                0.86245,               0.079242,              0.0012417,              0.0012417
                     23,                 1.3017,                 1.8144,                0.93539,                0.86114,                0.88329,                0.93208,                0.72657,                0.92322,                 1.4277,                0.86245,               0.078253,              0.0012526,              0.0012526
                     24,                  1.214,                 1.6013,                0.86584,                0.85905,                0.88582,                0.95487,                0.73142,                0.87501,                 1.3552,                0.85405,                0.07726,              0.0012595,              0.0012595
                     25,                 1.0594,                 1.5957,                0.87225,                0.85905,                0.88582,                0.95487,                0.73142,                0.87501,                 1.3552,                0.85405,               0.076263,              0.0012625,              0.0012625
                     26,                 1.1943,                 1.4577,                0.91393,                0.86305,                0.88154,                 0.9518,                0.75605,                0.87539,                 1.3475,                0.85321,               0.075262,              0.0012615,              0.0012615
                     27,                 1.1801,                 1.5828,                0.88099,                0.86305,                0.88154,                 0.9518,                0.75605,                0.87539,                 1.3475,                0.85321,               0.074257,              0.0012566,              0.0012566
                     28,                0.98613,                 1.3863,                0.85247,                0.87382,                0.87616,                0.92055,                0.71378,                0.90748,                 1.3046,                0.86159,               0.073248,              0.0012477,              0.0012477
                     29,                 1.1008,                 1.5601,                 0.9232,                0.87382,                0.87616,                0.92055,                0.71378,                0.90748,                 1.3046,                0.86159,               0.072235,              0.0012348,              0.0012348
                     30,                 1.0001,                 1.5218,                 0.8717,                0.90247,                0.87409,                 0.9443,                0.72837,                0.88401,                 1.2781,                0.85749,               0.071218,               0.001218,               0.001218
                     31,                  1.075,                 1.3452,                0.88352,                0.90247,                0.87409,                 0.9443,                0.72837,                0.88401,                 1.2781,                0.85749,               0.070197,              0.0011972,              0.0011972
                     32,                 1.0846,                 1.6679,                0.84905,                0.91625,                   0.88,                0.95487,                 0.7554,                0.85027,                 1.2842,                0.84706,               0.069172,              0.0011725,              0.0011725
                     33,                0.96861,                  1.632,                0.90262,                0.91625,                   0.88,                0.95487,                 0.7554,                0.85027,                 1.2842,                0.84706,               0.068144,              0.0011438,              0.0011438
                     34,                 1.1669,                 1.3858,                0.90758,                0.91993,                0.89205,                0.92867,                0.74304,                0.84757,                 1.2925,                0.84172,               0.067111,              0.0011111,              0.0011111
                     35,                 1.0836,                 1.4352,                0.91747,                0.91993,                0.89205,                0.92867,                0.74304,                0.84757,                 1.2925,                0.84172,               0.066075,              0.0010745,              0.0010745
                     36,                0.97188,                 1.7211,                0.84404,                0.91767,                0.89021,                0.92604,                0.72601,                0.90172,                 1.3846,                0.84715,               0.065034,              0.0010339,              0.0010339
                     37,                  1.056,                 1.4838,                0.87739,                0.91767,                0.89021,                0.92604,                0.72601,                0.90172,                 1.3846,                0.84715,               0.063989,             0.00098938,             0.00098938
                     38,                0.91521,                 1.4667,                0.87311,                0.91537,                0.87841,                0.92375,                0.69868,                0.91737,                 1.4014,                0.84404,               0.062941,             0.00094088,             0.00094088
                     39,                 1.0498,                  1.474,                0.87111,                0.91537,                0.87841,                0.92375,                0.69868,                0.91737,                 1.4014,                0.84404,               0.061888,             0.00088842,             0.00088842
                     40,                 1.0016,                 1.2793,                0.87405,                0.91454,                0.87712,                0.92604,                0.71013,                0.91601,                 1.3738,                0.84276,               0.060832,               0.000832,               0.000832
                     41,                0.88105,                 1.3406,                0.82042,                0.91454,                0.87712,                0.92604,                0.71013,                0.91601,                 1.3738,                0.84276,               0.059772,             0.00077162,             0.00077162
                     42,                 0.8566,                 1.4645,                0.87619,                0.88046,                0.87185,                0.92604,                 0.7129,                0.86546,                 1.3124,                0.83903,               0.058707,             0.00070728,             0.00070728
                     43,                 1.1534,                 1.3816,                0.86856,                0.88046,                0.87185,                0.92604,                 0.7129,                0.86546,                 1.3124,                0.83903,               0.057639,             0.00063898,             0.00063898
                     44,                0.84713,                 1.6063,                0.87925,                0.90228,                0.86967,                0.93103,                0.73246,                0.85732,                 1.3077,                0.83922,               0.056567,             0.00056672,             0.00056672
                     45,                0.94979,                 1.3449,                0.85288,                0.90228,                0.86967,                0.93103,                0.73246,                0.85732,                 1.3077,                0.83922,                0.05549,              0.0004905,              0.0004905
                     46,                 1.1003,                 1.3879,                 0.8565,                0.90052,                0.86831,                0.93175,                0.72957,                0.86217,                 1.2943,                0.83993,                0.05441,             0.00041032,             0.00041032
                     47,                 1.0697,                 1.3959,                0.89942,                0.90052,                0.86831,                0.93175,                0.72957,                0.86217,                 1.2943,                0.83993,               0.053326,             0.00032618,             0.00032618
                     48,                  0.985,                 1.4258,                0.86053,                0.88345,                0.87264,                0.93411,                0.74729,                0.84905,                 1.2741,                0.84043,               0.052238,             0.00023808,             0.00023808
                     49,                 1.0545,                  1.386,                0.92723,                0.88345,                0.87264,                0.93411,                0.74729,                0.84905,                 1.2741,                0.84043,               0.051146,             0.00014602,             0.00014602
